PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40628625,"Expression of Kappa Myeloma Antigen (KMA) and Lambda Myeloma Antigen (LMA) on Malignant but Not Normal Plasma Cells Offers Novel Therapeutic Targets for Patients With Myeloma, Amyloidosis and Other Plasma Cell Dyscrasias.",2025,Rosanne Dunn,"Haemalogix Ltd, Sydney, New South Wales 2001, Australia.",Not found
40628289,Understanding antibody-target antigen interactions and the avidity effect using mathematical modelling.,2025,Armin Sepp; James Yates,"Certara UK Limited, Sheffield, UK.; GSK plc, Stevenage, UK.",Not found
40628264,Neutralization of acyl coenzyme A binding protein for the experimental prevention and treatment of hepatocellular carcinoma.,2025,Long Pan; Lucie Poupel; Christophe Klein,"CHICS, Centre de Recherche des Cordeliers, Inserm U1138, Université Paris Cité, Sorbonne Université, Paris, France.; Team ""Functional Genomics of Solid Tumors"", Centre de Recherche des Cordeliers, Inserm U1138, Université Paris Cité, Sorbonne Université, 75006 Paris, France.",Not found
40627846,EML4-ALK rearrangement creates a distinctive myeloid cell-dominant immunosuppressive microenvironment in lung cancer.,2025,Yukari Nishito; Hideaki Mizuno; Yukiko Sonobe; Yoko Kayukawa; Toru Maruyama; Yukihiro Mizoguchi; Shigehisa Kitano; Hiroyuki Tsunoda,"Roche (Switzerland), Basel, Basel-stadt, Switzerland.; Chugai Pharmaceutical Co., Ltd., Yokohama City, Japan.; Japanese Foundation For Cancer Research, Koto-ku, Tokyo, Japan.; Chugai Pharmaceutical Co., Ltd., Kamakura, Kanagawa, Japan.; Chugai Pharmaceutical Co. Ltd., Yokohama, Kanagawa, Japan.; Chugai Pharmaceutical Co., Ltd., Yokohama, Kanagawa, Japan.",Not found
40627813,RP1 Combined With Nivolumab in Advanced Anti-PD-1-Failed Melanoma (IGNYTE).,2025,Judith Michels; Praveen K Bommareddy; Junhong Zhu; Marcus Viana; Jeannie W Hou; Robert S Coffin,"Replimune, Inc., Woburn, MA, USA.; Département de Médecine Oncologique, Gustave Roussy, Villejuif, France.",Not found
40627669,HPV vaccine uptake among adolescent girls in Nigeria: The complex role of caregivers' education.,2025,Ifeanyi Nsofor,"Family Health Initiative, Abuja, Nigeria.",Not found
40627448,NOTCH1 reverses immune suppression in small cell lung cancer through reactivation of STING.,2025,Barzin Y Nabet; Velimir Gayevskiy; David S Shames,"Genentech Inc., South San Francisco, United States of America.",Not found
40627445,"SARC028 samples reveal an interplay between TGFβ, interferon signaling and low HLA class I expression as contributors to Ewing sarcoma checkpoint blockade resistance.",2025,Melissa Burgess,"U Pittsburgh, Pittsburgh, PA, United States.",Not found
40626955,Design and Characterization of Prodrugged Anti-CTLA-4 Antibodies.,2025,Sayumi Yamazoe; Mary Huber; Srikanth Kotapati; Rahima Akter; Aarti Jashnani; Suprit Deol; Christine Bee; John Engelhart; Yam B Poudel; Stanley Krystek; Mohan Srinivasan; Arvind Rajpal; Yong Zhang; Pavel Strop; Chetana Rao; John Haugner,"Bristol-Myers Squibb Company, Research and Development, UNITED STATES OF AMERICA.; Bristol-Myers Squibb Co, Discovery Biologics, 700 Bay road, 94063, Redwood city, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and development, UNITED STATES OF AMERICA.; Bristol Myers Squibb Co, Research and Development, UNITED STATES OF AMERICA.",Not found
40626883,Vγ9Vδ2 T Cells Express an Antitumor Profile Associated with Anti-PD-(L)1 Responses and Activation Defects Restored by Anti-BTN3A in Triple-Negative Breast Cancer.,2025,Stéphane Fattori; Laurent Gorvel; Marie-Sarah Rouvière; Samuel Granjeaud; Amira Ben Amara; Manon Richaud; Nicolas Boucherit; Grégoire Bellan; Jean-Jacques Fournié; Anne-Sophie Chrétien,"INSERM, Toulouse, France.; Télécom Paris, France.; Centre de Recherche en Cancérologie de Marseille, Marseille, France.; Inserm, Marseille, France.",Not found
40626667,Lights and shadows of microsatellite status characterization in gastrointestinal cancers in the era of cancer precision therapy.,2025,Paola Parente; Luisa Toffolatti,"Unit of Pathology, Fondazione IRCCS Ospedale Casa Sollievo Della Sofferenza, San Giovanni Rotondo, Foggia, Italy.; Surgical Pathology Unit, ULSS2 Marca Trevigiana, Treviso, Italy.",Not found
40626281,Improving immunotherapy for the treatment of hepatocellular carcinoma: learning from patients and preclinical models.,2025,Mathias Heikenwälder,"Division of Chronic Inflammation and Cancer, German Cancer Research Centre Heidelberg (DKFZ), Heidelberg, Germany.",Not found
40626017,Part II: consensus statements and expert recommendations for BRCA-associated breast cancer in the Asia-Pacific region: clinical management.,2025,Rebecca Alexandra Dent,"Division of Medical Oncology, National Cancer Centre Singapore, Singapore, Singapore.",Not found
40625771,A rare case of primary prostate melanoma with extensive secondaries: case report.,2025,Kumanan Jayaraman; Rejeesh Selvaganesan; Binitta Sherin,"Pathology, KIMS Health, TVM Main Road, Chukankadai, Nagercoil, 629003 India.; Surgical Gastroenterology, KIMS Health, TVM Main Road, Chukankadai, Nagercoil, 629003 India.; Oncology, KIMS Health, TVM Main Road, Chukankadai, Nagercoil, 629003 India.",Not found
40624367,"EHA-EMN Evidence-Based Guidelines for diagnosis, treatment and follow-up of patients with multiple myeloma.",2025,Elena Zamagni; Paula Rodriguez-Otero; Michele Cavo; Mohamad Mohty; Jesus San-Miguel,"IRCCS Azienda Ospedaliero-Universitaria di Bologna, Istituto di Ematologia ""Seràgnoli"", Bologna, Italy.; Dipartimento di Scienze Mediche e Chirurgiche, Università di Bologna, Bologna, Italy.; Clinica Universidad de Navarra, CIMA, IDISNA, CIBERONC, Pamplona, Spain.; Centre de Recherche Saint-Antoine INSERM UMRs938, Sorbonne Université, Paris, France.",Not found
40624238,IL-17A-secreting γδ T cells promote resistance to CDK4/CDK6 inhibitors in HR,2025,Esther Navarro Manzano; Elena García-Martínez; Francisco Ayala de la Peña,"Instituto Murciano de Investigación Biosanitaria (IMIB-Arrixaca), Murcia, Spain.; Centro Regional de Hemodonación, Murcia, Spain.",Not found
